list_id,num_reviews,reviews_per_mon,last_review
1,9,0.21,10/19/2018
2,45,0.38,5/21/2019
3,,,
4,270,4.64,7/5/2019
5,9,0.1,11/19/2018
6,74,0.59,6/22/2019
7,49,0.4,10/5/2017
8,430,3.47,6/24/2019
9,118,0.99,7/21/2017
10,160,1.33,6/9/2019
11,53,0.43,6/22/2019
12,188,1.5,6/23/2019
13,167,1.34,6/24/2019
14,113,0.91,7/5/2019
15,27,0.22,10/31/2018
16,148,1.2,6/29/2019
17,198,1.72,6/28/2019
18,260,2.12,7/1/2019
19,53,4.44,6/22/2019
20,,,
21,9,0.07,12/28/2011
22,130,1.09,7/1/2019
23,39,0.37,1/1/2019
24,71,0.61,7/2/2019
25,88,0.73,6/19/2019
26,19,1.37,6/23/2019
27,,,
28,58,0.49,8/13/2017
29,108,1.11,6/15/2019
30,29,0.24,4/19/2019
31,242,2.04,6/1/2019
32,88,1.42,6/14/2019
33,197,1.65,6/15/2019
34,273,2.37,7/1/2019
35,74,0.66,5/12/2019
36,168,1.41,6/21/2019
37,,,
38,231,1.96,6/22/2019
39,,,
40,214,1.81,7/5/2019
41,245,2.08,6/21/2019
42,15,0.39,5/27/2019
43,25,0.23,9/30/2018
44,81,0.69,6/16/2019
45,97,0.84,6/13/2019
46,11,0.49,6/5/2019
47,248,2.25,7/1/2019
48,61,0.52,5/25/2019
49,11,0.1,1/1/2017
50,135,1.16,6/17/2019
51,112,1.01,6/16/2019
52,73,0.63,7/7/2019
53,82,0.7,5/17/2019
54,328,2.82,6/29/2019
55,19,0.22,3/25/2019
56,105,0.9,6/22/2019
57,19,0.17,5/18/2019
58,289,2.49,6/9/2019
59,138,1.19,6/4/2019
60,21,0.3,6/29/2019
61,42,0.38,6/30/2019
62,5,0.12,11/3/2018
63,66,0.57,3/30/2019
64,143,1.33,1/26/2019
65,27,0.23,9/30/2017
66,191,1.65,5/16/2019
67,4,0.16,9/24/2017
68,338,4.72,7/1/2019
69,148,1.4,6/23/2019
70,106,1.26,6/21/2019
71,190,1.64,6/23/2019
72,49,0.43,5/14/2018
73,23,0.43,6/1/2019
74,49,1.6,6/18/2019
75,105,0.92,6/26/2019
76,21,0.2,1/2/2019
77,142,1.5,7/6/2019
78,25,0.22,5/31/2019
79,143,1.28,6/16/2019
80,167,1.65,5/28/2019
81,61,0.54,4/22/2019
82,54,0.49,3/23/2019
83,70,0.62,6/30/2019
84,16,0.15,6/15/2019
85,94,0.84,4/8/2019
86,25,0.24,8/4/2016
87,61,0.53,8/9/2018
88,194,1.73,6/30/2019
89,2,0.05,2/14/2016
90,174,1.54,6/22/2019
91,24,0.28,5/26/2019
92,166,3.4,6/27/2019
93,16,0.2,5/31/2019
94,21,0.3,5/21/2019
95,168,1.57,7/22/2018
96,118,1.05,6/18/2019
97,81,0.71,7/7/2019
98,1,0.11,10/9/2018
99,30,0.27,5/1/2019
100,139,1.23,10/28/2018
101,11,0.87,1/3/2019
102,233,2.09,6/24/2019
103,68,0.6,11/1/2012
104,46,0.55,5/18/2019
105,335,3.02,5/29/2019
106,88,0.79,11/2/2018
107,162,1.46,6/28/2019
108,29,0.4,5/26/2018
109,170,1.61,6/23/2019
110,19,0.2,3/17/2017
111,334,3,6/16/2019
112,19,0.2,6/2/2019
113,12,0.13,12/11/2017
114,467,4.22,12/30/2018
115,7,0.06,8/9/2017
116,38,0.38,12/2/2015
117,324,3.01,6/23/2019
118,27,0.27,4/27/2019
119,115,1.05,6/7/2019
120,354,3.2,5/20/2019
121,195,2.03,7/1/2019
122,16,0.24,12/30/2018
123,13,0.12,6/26/2019
124,25,0.23,12/10/2011
125,9,0.08,10/5/2018
126,9,0.08,9/18/2011
127,21,0.19,8/15/2017
128,36,0.33,8/17/2017
129,63,0.58,5/14/2019
130,155,1.42,6/20/2019
131,260,2.35,7/3/2019
132,73,0.66,6/25/2019
133,193,1.86,5/20/2019
134,32,0.29,6/14/2019
135,50,0.45,5/26/2019
136,26,0.25,7/1/2019
137,2,0.02,1/1/2019
138,426,3.89,6/24/2019
139,227,2.09,6/23/2019
140,84,0.77,7/1/2019
141,3,0.03,7/30/2017
142,10,0.1,6/11/2018
143,4,0.04,4/24/2016
144,1,0.01,9/19/2011
145,124,1.72,6/20/2019
146,11,0.11,7/2/2019
147,240,2.19,6/17/2019
148,30,0.28,6/17/2019
149,200,1.86,6/22/2019
150,27,1.05,6/29/2019
151,79,0.74,6/22/2019
152,9,0.09,5/10/2013
153,155,1.61,6/13/2019
154,4,0.05,8/27/2018
155,34,0.32,5/29/2017
156,134,1.24,3/31/2019
157,27,0.25,12/27/2018
158,126,1.16,6/26/2019
159,23,0.27,12/31/2018
160,234,2.6,6/8/2019
161,202,1.86,5/28/2019
162,28,0.26,4/12/2019
163,309,2.86,6/22/2019
164,14,0.13,4/25/2011
165,4,0.08,9/23/2016
166,80,2.17,7/6/2019
167,2,0.04,11/2/2015
168,294,3.47,6/24/2019
169,150,1.4,6/18/2019
170,166,1.66,6/13/2019
171,47,0.94,6/19/2019
172,219,2.04,7/4/2019
173,193,1.78,7/6/2016
174,84,0.78,6/23/2019
175,114,1.06,6/20/2019
176,213,2,6/24/2019
177,86,0.8,6/1/2019
178,80,0.75,5/26/2019
179,38,0.36,4/20/2016
180,18,1.79,12/17/2018
181,206,1.92,6/30/2019
182,10,0.11,5/12/2019
183,122,1.18,5/14/2019
184,33,0.58,4/8/2019
185,52,0.5,6/5/2019
186,126,1.17,5/19/2019
187,51,0.48,6/24/2019
188,199,1.85,6/24/2019
189,30,0.29,9/3/2012
190,3,0.03,7/17/2015
191,41,0.38,6/26/2019
192,109,1.04,6/15/2019
193,151,1.43,6/22/2019
194,,,
195,285,2.69,6/22/2019
196,375,3.52,6/18/2019
197,52,0.49,5/20/2019
198,10,1.01,7/1/2019
199,11,0.48,11/13/2017
200,33,0.31,5/9/2015
201,6,0.06,10/8/2015
202,38,0.38,4/27/2019
203,358,3.44,6/20/2019
204,10,0.09,1/7/2014
205,,,
206,226,2.12,6/6/2019
207,104,1,6/22/2019
208,138,1.45,6/30/2019
209,204,1.92,6/23/2019
210,253,3.04,7/2/2019
211,23,0.22,7/1/2019
212,115,1.17,12/5/2018
213,129,1.22,5/19/2019
214,82,1.13,6/10/2019
215,37,0.35,12/31/2018
216,204,2.04,7/1/2019
217,69,0.65,6/13/2019
218,192,1.84,6/3/2019
219,17,0.16,6/17/2019
220,222,2.12,6/24/2019
221,205,1.96,6/23/2019
222,94,0.96,6/9/2019
223,7,0.07,5/24/2019
224,108,1.09,6/30/2019
225,222,2.1,6/26/2019
226,458,4.58,7/3/2019
227,21,0.26,5/17/2019
228,17,0.3,5/8/2019
229,41,0.39,1/2/2019
230,1,0.01,9/17/2012
231,69,0.67,5/19/2019
232,18,0.18,7/1/2019
233,82,0.78,1/5/2016
234,94,0.99,6/23/2019
235,10,0.1,5/11/2019
236,183,1.83,9/29/2018
237,189,1.82,6/11/2019
238,1,0.11,10/7/2018
239,127,1.22,6/20/2019
240,4,0.04,8/25/2017
241,135,1.3,6/20/2019
242,21,0.2,12/12/2015
243,35,0.34,7/27/2017
244,10,2.21,6/1/2019
245,171,1.8,6/23/2019
246,92,0.9,4/30/2019
247,238,2.3,6/14/2019
248,56,0.58,5/26/2019
249,111,2.13,6/22/2019
250,193,1.85,6/25/2019
251,147,1.44,6/10/2019
252,177,1.71,7/2/2019
253,185,1.78,5/24/2019
254,62,0.7,6/21/2019
255,124,1.22,6/16/2019
256,181,1.77,6/23/2019
257,333,3.19,7/2/2019
258,441,4.5,6/24/2019
259,45,0.46,5/16/2019
260,9,0.09,8/29/2016
261,,,
262,38,0.5,6/27/2019
263,248,2.39,6/25/2019
264,143,1.38,6/19/2019
265,36,0.41,8/19/2018
266,,,
267,14,0.14,1/7/2019
268,,,
269,279,2.69,6/24/2019
270,18,0.22,1/2/2019
271,50,3.55,5/26/2019
272,227,2.27,6/27/2019
273,1,0.16,1/2/2019
274,203,1.96,6/23/2019
275,210,2.1,7/6/2019
276,64,0.67,1/5/2019
277,,,
278,5,0.15,1/3/2019
279,49,0.48,6/29/2019
280,132,1.27,7/7/2019
281,20,0.26,1/2/2019
282,11,0.11,5/2/2013
283,51,0.57,7/1/2019
284,15,0.15,6/30/2019
285,67,1.31,6/25/2019
286,109,1.11,6/23/2019
287,9,0.11,2/16/2019
288,187,1.87,6/23/2019
289,214,2.08,6/23/2019
290,69,0.79,7/1/2019
291,22,0.26,6/15/2019
292,56,0.56,5/6/2019
293,93,0.93,6/22/2019
294,104,1.05,6/25/2019
295,64,0.68,7/6/2018
296,127,1.25,6/24/2019
297,30,0.32,6/13/2019
298,106,1.34,6/27/2019
299,6,0.1,11/13/2016
300,191,1.88,6/20/2019
301,48,0.55,6/11/2019
302,47,0.49,6/29/2019
303,120,1.27,6/30/2019
304,52,0.63,1/10/2019
305,48,0.48,6/16/2019
306,32,0.43,5/24/2019
307,43,0.42,6/17/2019
308,39,0.44,6/25/2019
309,50,0.5,5/13/2014
310,4,0.35,1/2/2019
311,38,0.39,2/15/2019
312,29,0.36,6/16/2019
313,59,0.6,6/23/2019
314,68,0.67,6/7/2019
315,26,0.27,11/25/2015
316,31,0.31,8/22/2012
317,198,2.01,5/31/2019
318,1,0.01,3/28/2011
319,220,2.17,6/22/2019
320,286,2.81,6/27/2019
321,398,3.97,6/28/2019
322,36,0.36,7/1/2019
323,36,0.36,6/14/2019
324,6,0.1,2/5/2016
325,14,0.3,4/20/2019
326,76,0.76,3/31/2019
327,182,1.81,7/4/2019
328,8,0.09,3/27/2016
329,7,0.07,5/24/2019
330,34,0.51,9/25/2018
331,2,0.02,5/12/2011
332,66,0.68,9/16/2016
333,80,0.85,6/30/2019
334,240,2.4,6/6/2019
335,46,1.07,7/2/2019
336,228,2.27,6/10/2019
337,5,0.05,9/3/2018
338,8,0.11,8/26/2018
339,33,0.33,1/2/2019
340,13,0.14,6/27/2019
341,5,0.05,7/22/2018
342,388,3.88,6/26/2019
343,223,2.22,6/23/2019
344,11,0.11,1/14/2019
345,151,1.51,6/24/2019
346,,,
347,218,2.26,6/28/2019
348,75,0.76,6/23/2019
349,42,1.21,7/6/2019
350,,,
351,370,3.74,7/5/2019
352,104,1.04,6/21/2019
353,13,0.13,7/18/2016
354,4,0.07,12/26/2018
355,11,0.11,6/7/2019
356,1,0.01,1/3/2012
357,19,0.19,6/11/2018
358,131,1.31,5/26/2019
359,15,0.15,5/1/2019
360,136,1.37,6/17/2019
361,43,0.45,7/8/2019
362,98,0.99,6/28/2019
363,31,0.31,3/1/2019
364,45,0.46,1/1/2018
365,124,1.76,6/26/2019
366,9,0.09,5/19/2018
367,166,1.68,5/27/2019
368,13,0.13,9/21/2015
369,15,0.16,1/5/2019
370,380,3.83,6/26/2019
371,86,0.87,6/16/2019
372,248,2.53,6/20/2019
373,49,0.56,6/19/2019
374,54,0.57,7/3/2019
375,3,0.03,1/1/2013
376,1,0.02,1/2/2016
377,56,0.57,12/28/2018
378,163,1.66,5/24/2019
379,247,2.51,6/21/2019
380,116,1.17,5/11/2019
381,27,0.28,5/19/2019
382,52,0.6,6/8/2019
383,39,0.4,9/24/2018
384,35,0.35,6/1/2019
385,320,3.23,6/23/2019
386,30,0.32,6/16/2019
387,225,2.27,6/24/2019
388,95,0.96,5/26/2018
389,70,0.75,6/28/2019
390,35,0.36,1/3/2019
391,,,
392,50,0.51,7/2/2019
393,29,0.31,6/23/2019
394,23,0.23,5/2/2016
395,142,1.44,6/16/2019
396,70,0.73,7/1/2019
397,38,0.54,6/3/2019
398,82,0.94,5/19/2019
399,403,4.1,7/7/2019
400,3,0.03,11/6/2014
401,3,0.03,8/4/2014
402,116,1.18,6/13/2019
403,175,1.79,7/7/2019
404,28,1.21,7/1/2019
405,24,0.25,12/26/2017
406,15,0.15,6/6/2016
407,105,1.07,6/6/2019
408,22,0.38,5/30/2019
409,263,2.69,6/24/2019
410,86,0.91,6/20/2019
411,10,0.1,1/1/2017
412,18,0.21,5/27/2019
413,8,0.21,7/8/2018
414,70,0.73,1/31/2019
415,150,1.55,7/5/2019
416,115,1.18,5/25/2017
417,69,0.71,5/26/2019
418,232,2.41,6/22/2019
419,35,0.41,1/13/2018
420,18,0.21,10/1/2013
421,68,0.69,6/10/2019
422,22,0.23,11/10/2014
423,17,0.17,5/18/2019
424,34,0.58,1/5/2016
425,8,0.08,6/6/2014
426,,,
427,2,0.08,7/6/2018
428,52,0.72,4/27/2019
429,74,0.76,6/16/2019
430,18,0.19,5/31/2013
431,72,0.86,5/11/2019
432,191,2.18,6/29/2019
433,,,
434,197,2.49,6/23/2019
435,19,0.2,7/6/2019
436,414,4.34,7/3/2019
437,8,0.09,12/11/2018
438,,,
439,25,0.3,2/12/2019
440,119,1.22,5/28/2019
441,203,2.14,7/6/2019
442,53,0.55,11/16/2018
443,104,1.09,6/16/2019
444,175,1.8,6/28/2019
445,38,0.42,5/8/2018
446,39,0.5,5/2/2019
447,88,0.91,6/16/2019
448,27,0.28,10/8/2017
449,117,1.28,6/29/2019
450,43,0.44,5/20/2019
451,4,0.05,3/13/2015
452,385,4,6/29/2019
453,64,0.68,7/1/2019
454,39,0.41,6/24/2019
455,37,1.79,7/3/2019
456,10,0.12,1/1/2019
457,103,1.08,6/24/2019
458,41,0.43,6/1/2019
459,3,0.03,8/31/2014
460,227,2.33,6/26/2019
461,37,0.79,12/27/2018
462,29,0.35,6/28/2019
463,205,2.31,12/31/2017
464,42,0.44,6/3/2019
465,280,2.92,7/5/2019
466,86,0.89,6/8/2019
467,54,0.56,6/16/2019
468,7,0.07,8/29/2018
469,57,0.59,1/1/2019
470,31,0.32,5/1/2019
471,188,1.94,8/23/2018
472,480,6.7,7/7/2019
473,34,0.35,6/15/2019
474,6,0.06,8/8/2015
475,3,0.04,5/13/2018
476,2,0.03,8/31/2014
477,20,0.21,8/24/2018
478,129,1.33,6/7/2019
479,147,1.6,6/30/2019
480,101,1.06,7/1/2019
481,11,0.12,1/2/2016
482,11,0.12,10/15/2013
483,41,0.43,6/16/2019
484,87,1.09,4/18/2017
485,117,1.21,5/21/2019
486,86,0.89,5/16/2019
487,,,
488,15,0.16,2/15/2016
489,35,0.55,7/2/2019
490,17,0.18,10/1/2015
491,3,0.04,2/15/2016
492,43,0.47,1/3/2018
493,168,4.6,7/6/2019
494,241,2.49,6/24/2019
495,105,1.13,6/23/2019
496,11,0.46,10/28/2018
497,30,0.33,5/5/2018
498,31,0.32,10/23/2018
499,49,0.51,5/7/2019
500,23,0.24,4/13/2019
